ztfname,mass,mass_err,restframe_gz,restframe_gz_err
ZTF18abcpolh,8.837,0.042,0.88569653,0.025455844123
ZTF18abcrtnq,8.621,0.106,1.36769653,0.176051128937
ZTF18abcrxoj,9.048,0.1,1.20569653,0.019104973175
ZTF18abcryxz,10.212,0.064,1.42569653,0.017691806013
ZTF18abcrzce,9.756,0.038,1.32769653,0.018439088915
ZTF18abcrzfz,8.647,0.035,0.76669653,0.044598206242
ZTF18abcscfv,8.465,0.036,0.71069653,0.060539243471
ZTF18abcsgvj,9.302,0.101,1.28169653,0.021260291625
ZTF18abcvush,10.295,0.132,1.31869653,0.017691806013
ZTF18abcvwcy,9.267,0.1,1.45469653,0.049497474683
ZTF18abcxyjp,7.921,0.037,0.65069653,0.08402380615
ZTF18abcyilc,8.606,0.031,0.88869653,0.038587562763
ZTF18abcysdx,9.157,0.032,0.83269653,0.025806975801
ZTF18abdbuty,9.609,0.029,1.11869653,0.019209372712
ZTF18abdcfgz,8.428,0.072,0.70369653,0.087045964869
ZTF18abdcudb,8.592,0.027,0.59069653,0.132378245947
ZTF18abddmrf,7.599,0.7,2.09669653,2.03560138534
ZTF18abddrhd,8.65,0.05,0.64669653,0.068154236846
ZTF18abdefet,9.231,0.029,1.10369653,0.030479501308
ZTF18abdfaqi,8.434,0.031,0.65969653,0.038948684188
ZTF18abdfazk,8.213,0.099,0.47169653,0.08514693183
ZTF18abdfwur,9.449,0.037,1.01069653,0.024758836806
ZTF18abdfydj,8.124,0.093,0.70469653,0.215244047537
ZTF18abdgwxn,8.661,0.034,1.07569653,0.041617304093
ZTF18abdhsfc,9.223,0.025,0.93869653,0.027459060435
ZTF18abdiasx,10.636,0.045,1.52069653,0.019209372712
ZTF18abdiqdh,9.806,0.128,1.21469653,0.019104973175
ZTF18abdiwpt,8.028,0.11,0.61569653,0.084693565281
ZTF18abdkimx,8.893,0.034,0.94069653,0.047413078365
ZTF18abdmgab,,-9.0,,
ZTF18abdpvnd,6.782,0.382,0.99169653,0.313453345811
ZTF18abdrbok,8.397,0.128,1.63169653,0.271118055467
ZTF18abdrmin,9.504,0.125,1.32369653,0.022803508502
ZTF18abeaipj,8.055,0.124,0.56369653,0.358353177745
ZTF18abealop,8.892,0.026,0.73469653,0.031064449134
ZTF18abebzog,9.264,0.021,1.02969653,0.02334523506
ZTF18abeecwe,8.924,0.07,1.26269653,0.020518284529
ZTF18abeegsl,7.835,0.472,1.25569653,0.776353656525
ZTF18abespgb,8.941,0.027,0.57269653,0.069526973183
ZTF18abetehf,9.193,0.146,1.33369653,0.024839484697
ZTF18abetejo,10.445,0.071,1.27469653,0.017691806013
ZTF18abetewu,9.496,0.046,0.90869653,0.023021728866
