ztfname,ra_host,dec_host,mass,mass_err,restframe_gz,restframe_gz_err,d_dlr
ZTF18aauizcr,173.61871682830855,46.360580544852034,10.518,0.1232233744059949,1.23069653,0.019849433241,0.7381446343627439
ZTF18aaumeys,214.31541984037088,59.27766795669314,9.009,0.1019803902718557,0.74569653,0.027459060435,1.0996867128151366
ZTF18aaumlfl,244.2695242948865,50.7901213770413,10.41,0.1028396810574595,0.99569653,0.023600847442,1.6370685706211054
ZTF18aaunfqq,238.5795732393116,39.45388554346004,9.798,0.1033247308247159,0.91169653,0.023600847442,0.3689499693103905
ZTF18aauocnw,271.1642815179489,41.55006049014658,10.177,0.1038460398859773,0.98269653,0.023021728866,0.771354734377498
ZTF18aaupmks,291.91153064954966,61.9472315315887,10.19,0.1118033988749895,1.07769653,0.017029386366,0.0091742108622349
ZTF18aauvnhh,213.34351644977363,22.57810823304732,9.843,0.1066255128944288,0.84869653,0.020615528128,0.3186986597702708
ZTF18aauworo,239.66967705426765,21.11751791897567,9.363,0.1062826420446913,0.79769653,0.027658633372,2.400115834109724
ZTF18aauxltf,224.3674185037329,5.843906090443857,10.74,0.1338693392827498,1.20769653,0.017691806013,1.42885393922889
ZTF18aavjnfx,248.9290074291011,4.825907586835218,8.645,0.1104943437466371,0.72569653,0.061911226769,1.1620588806581262
ZTF18aavniyw,172.87614719075108,51.62897244159037,10.01,0.1400142849854971,1.22969653,0.017691806013,1.0446775943905997
ZTF18aavnvmp,204.69693925901217,30.95959039928727,9.207,0.1146123902551552,1.13669653,0.03905124838,0.0591959017827709
ZTF18aavnxar,194.34433794778343,26.81482246177892,10.355,0.1151043005278256,1.43169653,0.021260291625,0.1272457425407278
ZTF18aavrmlf,170.2193553609371,53.82331466529865,10.818,0.1109233969908963,1.23869653,0.022803508502,0.2430508288790565
ZTF18aavrwhu,206.734119363297,43.13743646997747,9.956,0.1046947945219818,0.78269653,0.022203603311,0.7340933200978126
ZTF18aavsilo,216.3875768858676,15.958424336148925,10.837,0.1118033988749895,1.40169653,0.018439088915,0.0333738474830794
ZTF18aawcwsx,160.13923108369056,47.04021107384247,9.193,0.1017889974407843,0.37369653,0.063324560796,0.1367870281568882
ZTF18aawczad,194.57015374237844,27.729698128842283,10.48,0.1146123902551552,1.09269653,0.019849433241,0.3270186905854581
ZTF18aawdpnm,213.8289079302207,16.88796917682264,10.814,0.1109233969908963,1.29669653,0.019849433241,1.211138724554703
ZTF18aawhyvl,251.99011111594365,35.92483631975548,10.217,0.1046947945219818,1.02969653,0.026627053911,0.0343879456285752
ZTF18aawmvbj,153.17238229719493,21.415480445212808,9.639,0.1092520022699813,0.53969653,0.088323269867,1.489616201834942
ZTF18aawmxdx,147.24342507150465,13.984452130648474,9.891,0.1030776406404415,0.86869653,0.020615528128,0.1214285464308263
ZTF18aawnbgg,160.22444604614486,23.74545254878253,9.364,0.1156027681329474,1.13669653,0.063560994328,1.4122475721894658
ZTF18aawozzj,187.78753267064167,57.58374309131771,9.227,0.1151043005278256,1.01269653,0.127129854873,0.1805350482173694
